,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
11653,Desmond Bane,MEM,23.0,195.58,97.52228000000001,TCU,USA,2020,1,30,68,9.2,3.1,1.7,0.4,0.019,0.11599999999999999,0.155,0.6,0.105,2020-21
11654,Derrick White,SAS,26.0,193.04,86.18248,Colorado,USA,2017,1,29,36,15.4,3.0,3.5,5.1,0.012,0.086,0.223,0.55,0.168,2020-21
11655,Derrick Rose,NYK,32.0,187.96,90.7184,Memphis,USA,2008,1,1,50,14.7,2.6,4.2,4.9,0.015,0.081,0.252,0.55,0.276,2020-21
11656,Derrick Jones Jr.,POR,24.0,195.58,95.25432,UNLV,USA,Undrafted,Undrafted,Undrafted,58,6.8,3.5,0.8,-0.8,0.055,0.094,0.122,0.5760000000000001,0.049,2020-21
11657,DeMarcus Cousins,LAC,30.0,208.28,122.46983999999999,Kentucky,USA,2010,1,5,41,8.9,6.4,1.9,-3.2,0.07,0.293,0.239,0.537,0.174,2020-21
11658,Denzel Valentine,CHI,27.0,193.04,99.79024,Michigan State,USA,2016,1,14,62,6.5,3.2,1.7,1.0,0.022000000000000002,0.168,0.19,0.479,0.14400000000000002,2020-21
11659,Dennis Smith Jr.,DET,23.0,187.96,92.98635999999999,North Carolina State,USA,2017,1,9,23,6.7,2.4,3.3,-2.2,0.028999999999999998,0.099,0.191,0.49200000000000005,0.276,2020-21
11660,Dennis Schroder,LAL,27.0,190.5,78.017824,None,Germany,2013,1,17,61,15.4,3.5,5.8,2.2,0.016,0.09300000000000001,0.22699999999999998,0.5429999999999999,0.262,2020-21
11661,Deni Avdija,WAS,20.0,205.74,95.25432,None,Israel,2020,1,9,54,6.3,4.9,1.2,-2.1,0.017,0.18100000000000002,0.11800000000000001,0.515,0.064,2020-21
11662,Delon Wright,SAC,29.0,195.58,83.91452,Utah,USA,2015,1,20,63,10.2,4.3,4.4,-3.5,0.036000000000000004,0.122,0.163,0.562,0.237,2020-21
11663,Dejounte Murray,SAS,24.0,193.04,81.64656,Washington,USA,2016,1,29,67,15.7,7.1,5.4,2.3,0.026000000000000002,0.19,0.231,0.509,0.24600000000000002,2020-21
11664,Deividas Sirvydis,DET,21.0,203.2,86.18248,None,Lithuania,2019,2,37,20,2.1,1.5,0.3,-9.7,0.0,0.225,0.15,0.48100000000000004,0.062,2020-21
11665,Deandre Ayton,PHX,22.0,210.82,113.398,Arizona,Bahamas,2018,1,1,69,14.4,10.5,1.4,6.3,0.11699999999999999,0.23600000000000002,0.179,0.653,0.066,2020-21
11666,Dean Wade,CLE,24.0,205.74,103.418976,Kansas State,USA,Undrafted,Undrafted,Undrafted,63,6.0,3.4,1.2,-9.0,0.031,0.154,0.128,0.573,0.094,2020-21
11667,Freddie Gillespie,TOR,24.0,205.74,111.13004,Baylor,USA,Undrafted,Undrafted,Undrafted,20,5.6,4.9,0.5,-9.6,0.1,0.142,0.12,0.563,0.034,2020-21
11668,DeMar DeRozan,SAS,31.0,198.12,99.79024,Southern California,USA,2009,1,9,61,21.6,4.2,6.9,-2.5,0.019,0.106,0.255,0.591,0.309,2020-21
11669,Domantas Sabonis,IND,25.0,210.82,108.86208,Gonzaga,Lithuania,2016,1,11,62,20.3,12.0,6.7,-1.9,0.066,0.259,0.239,0.601,0.28300000000000003,2020-21
11670,Donovan Mitchell,UTA,24.0,185.42,97.52228000000001,Louisville,USA,2017,1,13,53,26.4,4.4,5.2,7.9,0.027999999999999997,0.095,0.327,0.569,0.266,2020-21
11671,Derrick Favors,UTA,29.0,205.74,120.20188,Georgia Tech,USA,2010,1,3,68,5.4,5.5,0.6,2.6,0.13,0.22699999999999998,0.125,0.6629999999999999,0.059000000000000004,2020-21
11672,Donte DiVincenzo,MIL,24.0,193.04,92.079176,Villanova,USA,2018,1,17,66,10.4,5.8,3.1,8.1,0.043,0.155,0.163,0.542,0.13699999999999998,2020-21
11673,Frank Mason,ORL,27.0,180.34,86.18248,Kansas,USA,2017,2,34,4,6.3,3.0,3.0,-11.1,0.033,0.10300000000000001,0.17,0.462,0.218,2020-21
11674,Donta Hall,ORL,23.0,208.28,104.32616,Alabama,USA,Undrafted,Undrafted,Undrafted,13,5.6,4.8,0.8,-6.5,0.126,0.193,0.135,0.731,0.102,2020-21
11675,Frank Kaminsky,PHX,28.0,213.36,108.86208,Wisconsin,USA,2015,1,9,47,6.6,4.0,1.7,4.6,0.051,0.20800000000000002,0.185,0.547,0.154,2020-21
11676,Frank Jackson,DET,23.0,190.5,92.98635999999999,Duke,USA,2017,2,31,40,9.8,2.2,0.9,-1.0,0.021,0.092,0.207,0.598,0.079,2020-21
11677,Facundo Campazzo,DEN,30.0,177.8,88.45044,None,Argentina,Undrafted,Undrafted,Undrafted,65,6.1,2.1,3.6,2.8,0.015,0.081,0.128,0.5579999999999999,0.215,2020-21
11678,Evan Fournier,BOS,28.0,200.66,92.98635999999999,None,France,2012,1,20,42,17.1,3.0,3.4,-1.4,0.006999999999999999,0.094,0.222,0.598,0.17,2020-21
11679,Eric Paschall,GSW,24.0,198.12,115.66596000000001,Villanova,USA,2019,2,41,40,9.5,3.2,1.3,-6.8,0.038,0.138,0.23399999999999999,0.561,0.125,2020-21
11680,Eric Gordon,HOU,32.0,190.5,97.52228000000001,Indiana,USA,2008,1,7,27,17.8,2.1,2.6,-3.3,0.009000000000000001,0.062,0.24600000000000002,0.5770000000000001,0.147,2020-21
11681,Eric Bledsoe,NOP,31.0,185.42,97.068688,Kentucky,USA,2010,1,18,71,12.2,3.4,3.8,-1.8,0.013000000000000001,0.1,0.18100000000000002,0.5329999999999999,0.17,2020-21
11682,Enes Kanter,POR,29.0,208.28,113.398,None,Turkey,2011,1,3,72,11.2,11.0,1.2,4.9,0.14800000000000002,0.281,0.16899999999999998,0.636,0.069,2020-21
11683,Elijah Hughes,UTA,23.0,195.58,97.52228000000001,Syracuse,USA,2020,2,39,18,1.7,0.5,0.3,-28.8,0.013999999999999999,0.11900000000000001,0.242,0.488,0.158,2020-21
11684,Elijah Bryant,MIL,26.0,195.58,95.25432,Brigham Young,USA,Undrafted,Undrafted,Undrafted,1,16.0,6.0,3.0,14.0,0.065,0.133,0.231,0.5589999999999999,0.13,2020-21
11685,Elfrid Payton,NYK,27.0,190.5,88.45044,Louisana-Lafayette,USA,2014,1,10,63,10.1,3.4,3.2,-3.0,0.040999999999999995,0.098,0.22399999999999998,0.478,0.209,2020-21
11686,Ersan Ilyasova,UTA,34.0,205.74,106.59411999999999,None,Turkey,2005,2,36,17,3.8,1.7,0.2,6.7,0.047,0.14300000000000002,0.19,0.578,0.04,2020-21
11687,Ed Davis,MIN,32.0,205.74,98.88305600000001,North Carolina,USA,2010,1,13,23,2.1,5.0,0.9,-7.6,0.127,0.235,0.078,0.48700000000000004,0.1,2020-21
11688,Dorian Finney-Smith,DAL,28.0,200.66,99.79024,Florida,USA,Undrafted,Undrafted,Undrafted,60,9.8,5.4,1.7,5.1,0.052000000000000005,0.11599999999999999,0.12,0.609,0.07,2020-21
11689,Doug McDermott,IND,29.0,200.66,102.0582,Creighton,USA,2014,1,11,66,13.6,3.3,1.3,-1.8,0.036000000000000004,0.096,0.19399999999999998,0.635,0.075,2020-21
11690,Edmond Sumner,IND,25.0,193.04,88.904032,Xavier,USA,2017,2,52,53,7.5,1.8,0.9,-0.4,0.02,0.083,0.17600000000000002,0.626,0.075,2020-21
11691,Draymond Green,GSW,31.0,198.12,104.32616,Michigan State,USA,2012,2,35,63,7.0,7.1,8.9,5.4,0.027999999999999997,0.184,0.128,0.53,0.345,2020-21
11692,Drew Eubanks,SAS,24.0,205.74,111.13004,Oregon State,USA,Undrafted,Undrafted,Undrafted,54,5.8,4.5,0.8,-4.6,0.09,0.207,0.166,0.618,0.086,2020-21
11693,Duncan Robinson,MIA,27.0,200.66,97.52228000000001,Michigan,USA,Undrafted,Undrafted,Undrafted,72,13.1,3.5,1.8,2.3,0.003,0.109,0.162,0.628,0.08199999999999999,2020-21
11694,Frank Ntilikina,NYK,22.0,193.04,90.7184,None,France,2017,1,8,33,2.7,0.9,0.6,-3.6,0.019,0.077,0.134,0.512,0.095,2020-21
11695,Dwayne Bacon,ORL,25.0,198.12,100.243832,Florida State,USA,2017,2,40,72,10.9,3.1,1.3,-11.4,0.015,0.102,0.193,0.49,0.08,2020-21
11696,Dwight Howard,PHI,35.0,208.28,120.20188,None,USA,2004,1,1,69,7.0,8.4,0.9,-2.4,0.14800000000000002,0.309,0.17300000000000001,0.61,0.076,2020-21
11697,Dwight Powell,DAL,29.0,208.28,108.86208,Stanford,Canada,2014,2,45,58,5.9,4.0,1.1,4.0,0.086,0.158,0.129,0.688,0.09,2020-21
11698,Dylan Windler,CLE,24.0,198.12,88.904032,Belmont,USA,2019,1,26,31,5.2,3.5,1.1,-6.5,0.039,0.171,0.14,0.5670000000000001,0.08900000000000001,2020-21
11699,E'Twaun Moore,PHX,32.0,190.5,86.636072,Purdue,USA,2011,2,55,27,4.9,1.7,1.5,0.5,0.035,0.08,0.16399999999999998,0.523,0.14,2020-21
11700,Freddie Gillespie,ORL,25.0,205.74,111.13004,Baylor,USA,Undrafted,Undrafted,Undrafted,9,2.3,4.0,0.6,-13.6,0.099,0.183,0.109,0.419,0.061,2021-22
11701,Georges Niang,PHI,29.0,200.66,104.32616,Iowa State,USA,2016,2,50,76,9.2,2.7,1.3,1.9,0.013999999999999999,0.09699999999999999,0.16,0.594,0.09,2021-22
11702,George King,DAL,28.0,198.12,99.79024,Colorado,USA,2018,2,59,4,0.3,1.3,0.0,-62.2,0.0,0.25,0.159,0.085,0.0,2021-22
11703,George Hill,MIL,36.0,193.04,85.275296,Indiana-Purdue Indianapolis,USA,2008,1,26,54,6.2,2.9,2.2,11.7,0.028999999999999998,0.084,0.115,0.552,0.124,2021-22
11704,Gary Trent Jr.,TOR,23.0,195.58,94.800728,Duke,USA,2018,2,37,70,18.3,2.7,2.0,3.3,0.01,0.07,0.212,0.546,0.085,2021-22
11705,Gary Payton II,GSW,29.0,190.5,88.45044,Oregon State,USA,Undrafted,Undrafted,Undrafted,71,7.1,3.5,0.9,8.3,0.057999999999999996,0.132,0.14,0.679,0.076,2021-22
11706,Gary Harris,ORL,27.0,193.04,95.25432,Michigan State,USA,2014,1,19,61,11.1,2.0,1.8,-5.9,0.02,0.048,0.16,0.5710000000000001,0.094,2021-22
11707,Garrison Mathews,HOU,25.0,195.58,97.52228000000001,Lipscomb,USA,Undrafted,Undrafted,Undrafted,65,10.0,2.9,1.0,-5.9,0.018000000000000002,0.09300000000000001,0.13699999999999998,0.602,0.052000000000000005,2021-22
11708,Georgios Kalaitzakis,OKC,23.0,200.66,87.089664,None,Greece,2021,2,60,13,6.6,1.6,0.9,-29.3,0.026000000000000002,0.07400000000000001,0.2,0.536,0.09,2021-22
11709,Garrett Temple,NOP,36.0,195.58,88.45044,Louisiana State,USA,Undrafted,Undrafted,Undrafted,59,5.2,2.4,1.3,-13.7,0.024,0.106,0.136,0.494,0.102,2021-22
11710,Gabriel Lundberg,PHX,27.0,193.04,92.079176,None,Denmark,Undrafted,Undrafted,Undrafted,4,3.3,1.8,2.8,18.3,0.04,0.11900000000000001,0.191,0.342,0.268,2021-22
11711,Gabe York,IND,28.0,190.5,86.18248,Arizona,USA,Undrafted,Undrafted,Undrafted,2,4.0,1.0,2.0,-14.6,0.0,0.14300000000000002,0.179,0.435,0.222,2021-22
11712,Gabe Vincent,MIA,26.0,190.5,90.7184,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,68,8.7,1.9,3.1,3.1,0.013999999999999999,0.064,0.174,0.551,0.198,2021-22
11713,Furkan Korkmaz,PHI,24.0,200.66,91.625584,None,Turkey,2016,1,26,67,7.6,2.6,1.9,0.8,0.015,0.10400000000000001,0.17,0.502,0.129,2021-22
11714,Gary Clark,NOP,27.0,198.12,102.0582,Cincinnati,USA,Undrafted,Undrafted,Undrafted,38,2.7,2.4,0.5,-2.1,0.057,0.174,0.11,0.547,0.067,2021-22
11715,Gabriel Deck,OKC,27.0,198.12,104.779752,None,Argentina,Undrafted,Undrafted,Undrafted,7,2.6,0.9,0.7,-13.6,0.017,0.077,0.11900000000000001,0.643,0.147,2021-22
11716,Hassan Whiteside,UTA,33.0,213.36,120.20188,Marshall,USA,2010,2,33,65,8.2,7.6,0.4,10.1,0.142,0.275,0.16399999999999998,0.662,0.031,2021-22
11717,Goga Bitadze,IND,22.0,213.36,113.398,None,Georgia,2019,1,18,50,7.0,3.5,1.1,-2.4,0.106,0.139,0.191,0.595,0.11,2021-22
11718,Immanuel Quickley,NYK,23.0,190.5,86.18248,Kentucky,USA,2020,1,25,78,11.3,3.2,3.5,6.6,0.017,0.114,0.217,0.5429999999999999,0.244,2021-22
11719,Ignas Brazdeikis,ORL,23.0,198.12,100.243832,Michigan,Canada,2019,2,47,42,5.0,1.7,0.9,-15.7,0.038,0.09,0.172,0.52,0.11,2021-22
11720,Herbert Jones,NOP,23.0,200.66,93.439952,Alabama,USA,2021,2,35,78,9.5,3.8,2.1,2.0,0.040999999999999995,0.086,0.136,0.573,0.09699999999999999,2021-22
11721,Haywood Highsmith,MIA,25.0,193.04,99.79024,Wheeling Jesuit,USA,2018,Undrafted,Undrafted,19,2.3,1.4,0.3,-8.5,0.055999999999999994,0.09699999999999999,0.131,0.446,0.052000000000000005,2021-22
11722,Hassani Gravett,ORL,25.0,187.96,84.821704,South Carolina,USA,2019,Undrafted,Undrafted,8,6.3,2.6,2.5,-1.8,0.006,0.114,0.13,0.629,0.177,2021-22
11723,Harrison Barnes,SAC,30.0,203.2,102.0582,North Carolina,USA,2012,1,7,77,16.4,5.6,2.4,-6.7,0.031,0.135,0.184,0.623,0.10300000000000001,2021-22
11724,Giannis Antetokounmpo,MIL,27.0,210.82,109.769264,None,Greece,2013,1,15,67,29.9,11.6,5.8,8.0,0.06,0.267,0.34,0.633,0.304,2021-22
11725,Hamidou Diallo,DET,23.0,195.58,91.625584,Kentucky,USA,2018,2,45,58,11.0,4.8,1.3,-7.6,0.049,0.162,0.213,0.541,0.098,2021-22
11726,Greg Brown III,POR,20.0,200.66,93.439952,Texas-Austin,USA,2021,2,43,48,4.7,2.8,0.7,-17.6,0.057,0.15,0.168,0.515,0.087,2021-22
11727,Grayson Allen,MIL,26.0,193.04,89.811216,Duke,USA,2018,1,21,66,11.1,3.4,1.5,5.0,0.017,0.09699999999999999,0.14800000000000002,0.609,0.075,2021-22
11728,Grant Williams,BOS,23.0,198.12,107.047712,Tennessee,USA,2019,1,22,77,7.8,3.6,1.0,4.5,0.035,0.107,0.12300000000000001,0.635,0.057999999999999996,2021-22
11729,Gorgui Dieng,ATL,32.0,208.28,112.490816,Louisville,Senegal,2013,1,21,44,3.5,2.8,0.8,-9.2,0.083,0.23800000000000002,0.16399999999999998,0.624,0.155,2021-22
11730,Gordon Hayward,CHA,32.0,200.66,102.0582,Butler,USA,2010,1,9,49,15.9,4.6,3.6,-0.4,0.022000000000000002,0.114,0.20199999999999999,0.57,0.16,2021-22
11731,Goran Dragic,BKN,36.0,190.5,86.18248,None,Slovenia,2008,2,45,21,7.5,3.1,4.1,0.4,0.027000000000000003,0.10400000000000001,0.166,0.474,0.22699999999999998,2021-22
11732,Greg Monroe,MIN,32.0,208.28,113.398,Georgetown,USA,2010,1,7,14,5.4,4.6,1.6,0.9,0.141,0.17600000000000002,0.16399999999999998,0.5660000000000001,0.162,2021-22
11733,Fred VanVleet,TOR,28.0,185.42,89.357624,Wichita State,USA,Undrafted,Undrafted,Undrafted,65,20.3,4.4,6.7,3.7,0.016,0.1,0.233,0.552,0.266,2021-22
11734,Dorian Finney-Smith,DAL,29.0,200.66,99.79024,Florida,USA,Undrafted,Undrafted,Undrafted,80,11.0,4.7,1.9,4.4,0.047,0.095,0.138,0.604,0.08,2021-22
11735,Frank Ntilikina,DAL,23.0,193.04,90.7184,None,France,2017,1,8,58,4.1,1.4,1.2,4.3,0.016,0.094,0.165,0.513,0.149,2021-22
11736,Duncan Robinson,MIA,28.0,200.66,97.52228000000001,Michigan,USA,Undrafted,Undrafted,Undrafted,79,10.9,2.6,1.6,2.6,0.012,0.08900000000000001,0.174,0.573,0.095,2021-22
11737,Duane Washington Jr.,IND,22.0,190.5,89.357624,Ohio State,Germany,Undrafted,Undrafted,Undrafted,48,9.9,1.7,1.8,-5.9,0.004,0.08199999999999999,0.214,0.521,0.128,2021-22
11738,Drew Eubanks,POR,25.0,205.74,111.13004,Oregon State,USA,Undrafted,Undrafted,Undrafted,71,7.7,5.4,1.2,-12.8,0.09699999999999999,0.19699999999999998,0.171,0.638,0.107,2021-22
11739,Draymond Green,GSW,32.0,198.12,104.32616,Michigan State,USA,2012,2,35,46,7.5,7.3,7.0,7.2,0.034,0.204,0.14,0.5820000000000001,0.325,2021-22
11740,Doug McDermott,SAS,30.0,200.66,102.0582,Creighton,USA,2014,1,11,51,11.3,2.3,1.3,-1.8,0.013999999999999999,0.076,0.17800000000000002,0.593,0.068,2021-22
11741,Donte DiVincenzo,SAC,25.0,193.04,92.079176,Villanova,USA,2018,1,17,42,9.0,4.0,2.8,-3.7,0.039,0.125,0.187,0.51,0.16699999999999998,2021-22
11742,Donovan Mitchell,UTA,25.0,185.42,97.52228000000001,Louisville,USA,2017,1,13,67,25.9,4.2,5.3,5.9,0.024,0.096,0.322,0.5720000000000001,0.267,2021-22
11743,Domantas Sabonis,SAC,26.0,210.82,108.86208,Gonzaga,Lithuania,2016,1,11,62,18.9,12.1,5.2,-0.6,0.092,0.264,0.221,0.637,0.239,2021-22
11744,Dillon Brooks,MEM,26.0,200.66,102.0582,Oregon,Canada,2017,2,45,32,18.4,3.2,2.8,11.0,0.03,0.08,0.28300000000000003,0.515,0.147,2021-22
11745,Didi Louzada,POR,22.0,195.58,85.275296,None,Brazil,2019,2,35,9,3.9,1.9,0.6,-29.1,0.034,0.096,0.13,0.517,0.07,2021-22
11746,Dewayne Dedmon,MIA,32.0,213.36,111.13004,Southern California,USA,Undrafted,Undrafted,Undrafted,67,6.3,5.8,0.7,3.5,0.1,0.251,0.16399999999999998,0.632,0.069,2021-22
11747,Devonte' Graham,NOP,27.0,185.42,88.45044,Kansas,USA,2018,2,34,76,11.9,2.3,4.2,0.3,0.017,0.064,0.191,0.514,0.21,2021-22
11748,Devontae Cacok,SAS,25.0,200.66,108.86208,North Carolina-Wilmington,USA,Undrafted,Undrafted,Undrafted,15,3.1,2.8,0.4,-1.6,0.057999999999999996,0.27899999999999997,0.122,0.675,0.073,2021-22
11749,Devon Dotson,CHI,22.0,185.42,83.91452,Kansas,USA,Undrafted,Undrafted,Undrafted,11,2.6,0.8,1.4,-2.4,0.011000000000000001,0.105,0.156,0.5379999999999999,0.28300000000000003,2021-22
11750,Isaac Bonga,TOR,22.0,203.2,81.64656,None,Germany,2018,2,39,15,0.8,0.5,0.3,-22.6,0.043,0.038,0.10800000000000001,0.363,0.08900000000000001,2021-22
11751,Dwight Howard,LAL,36.0,208.28,120.20188,None,USA,2004,1,1,60,6.2,5.9,0.6,-5.7,0.12,0.24600000000000002,0.145,0.657,0.049,2021-22
11752,Franz Wagner,ORL,20.0,208.28,99.79024,Michigan,Germany,2021,1,8,79,15.2,4.5,2.9,-4.9,0.033,0.106,0.20800000000000002,0.5589999999999999,0.151,2021-22
11753,Dwight Powell,DAL,30.0,208.28,108.86208,Stanford,Canada,2014,2,45,82,8.7,4.9,1.2,2.5,0.099,0.134,0.136,0.725,0.081,2021-22
11754,Ed Davis,CLE,33.0,205.74,98.88305600000001,North Carolina,USA,2010,1,13,31,0.9,2.1,0.2,4.6,0.07200000000000001,0.23,0.062,0.632,0.053,2021-22
11755,Frank Kaminsky,PHX,29.0,213.36,108.86208,Wisconsin,USA,2015,1,9,9,10.6,4.6,1.4,9.6,0.06,0.14400000000000002,0.185,0.635,0.105,2021-22
11756,Frank Jackson,DET,24.0,190.5,92.98635999999999,Duke,USA,2017,2,31,53,10.6,1.6,1.0,-6.8,0.015,0.057999999999999996,0.203,0.53,0.077,2021-22
11757,Feron Hunt,NYK,22.0,203.2,88.45044,Southern Methodist,USA,Undrafted,Undrafted,Undrafted,2,0.0,0.5,0.5,-10.1,0.091,0.0,0.136,0.0,0.2,2021-22
11758,Facundo Campazzo,DEN,31.0,177.8,88.45044,None,Argentina,Undrafted,Undrafted,Undrafted,65,5.1,1.8,3.4,-8.6,0.019,0.08,0.14300000000000002,0.503,0.276,2021-22
11759,Evan Mobley,CLE,21.0,210.82,97.52228000000001,Southern California,USA,2021,1,3,69,15.0,8.3,2.5,1.7,0.063,0.174,0.201,0.5489999999999999,0.11699999999999999,2021-22
11760,Evan Fournier,NYK,29.0,198.12,92.98635999999999,None,France,2012,1,20,80,14.1,2.6,2.1,-2.7,0.013000000000000001,0.073,0.201,0.5539999999999999,0.114,2021-22
11761,Eugene Omoruyi,DAL,25.0,198.12,106.59411999999999,Oregon,Nigeria,Undrafted,Undrafted,Undrafted,4,1.8,1.8,0.5,11.9,0.111,0.278,0.156,0.518,0.16699999999999998,2021-22
11762,Eric Paschall,UTA,25.0,198.12,115.66596000000001,Villanova,USA,2019,2,41,58,5.8,1.8,0.6,-2.3,0.042,0.1,0.174,0.612,0.07400000000000001,2021-22
11763,Eric Gordon,HOU,33.0,190.5,97.52228000000001,Indiana,USA,2008,1,7,57,13.4,2.0,2.7,-5.1,0.009000000000000001,0.055999999999999994,0.182,0.614,0.13699999999999998,2021-22
11764,Eric Bledsoe,POR,32.0,185.42,97.068688,Kentucky,USA,2010,1,18,54,9.9,3.4,4.2,-1.2,0.02,0.105,0.198,0.514,0.251,2021-22
11765,Enes Freedom,BOS,30.0,208.28,113.398,None,Turkey,2011,1,3,35,3.7,4.6,0.2,7.8,0.14300000000000002,0.21899999999999997,0.129,0.585,0.027000000000000003,2021-22
11766,Emmanuel Mudiay,SAC,26.0,190.5,90.7184,None,Democratic Republic of the Congo,2015,1,7,2,1.5,0.0,2.0,-23.7,0.0,0.0,0.192,0.39899999999999997,0.5710000000000001,2021-22
11767,Emanuel Terry,PHX,25.0,205.74,99.79024,Lincoln Memorial,USA,Undrafted,Undrafted,Undrafted,3,0.0,5.0,0.7,-50.3,0.28600000000000003,0.389,0.18899999999999997,0.0,0.222,2021-22
11768,Elijah Hughes,POR,24.0,195.58,97.52228000000001,Syracuse,USA,2020,2,39,36,3.5,1.6,0.6,-23.7,0.013000000000000001,0.11800000000000001,0.158,0.426,0.079,2021-22
11769,Elfrid Payton,PHX,28.0,190.5,88.45044,Louisana-Lafayette,USA,2014,1,10,50,3.0,1.8,2.0,-2.0,0.035,0.115,0.175,0.397,0.252,2021-22
11770,Dylan Windler,CLE,25.0,198.12,88.904032,Belmont,USA,2019,1,26,50,2.2,1.8,0.7,0.0,0.047,0.146,0.115,0.519,0.111,2021-22
11771,Isaac Okoro,CLE,21.0,195.58,102.0582,Auburn,USA,2020,1,5,67,8.8,3.0,1.8,3.1,0.037000000000000005,0.065,0.12300000000000001,0.589,0.083,2021-22
11772,Jeff Green,DEN,35.0,203.2,106.59411999999999,Georgetown,USA,2007,1,5,75,10.3,3.1,1.3,1.8,0.024,0.1,0.16,0.627,0.071,2021-22
11773,Isaiah Jackson,IND,20.0,208.28,92.98635999999999,Kentucky,USA,2021,1,22,36,8.3,4.1,0.3,-2.8,0.109,0.157,0.214,0.607,0.027000000000000003,2021-22
11774,Jayson Tatum,BOS,24.0,203.2,95.25432,Duke,USA,2017,1,3,76,26.9,8.0,4.4,12.1,0.032,0.18,0.313,0.578,0.204,2021-22
11775,Jaysean Paige,DET,27.0,187.96,90.7184,West Virginia,USA,Undrafted,Undrafted,Undrafted,1,0.0,1.0,1.0,-69.6,0.0,0.091,0.21100000000000002,0.0,0.33299999999999996,2021-22
11776,Jaylen Nowell,MIN,22.0,193.04,91.171992,Washington,USA,2019,2,43,62,8.5,2.0,2.1,2.8,0.022000000000000002,0.1,0.205,0.581,0.19699999999999998,2021-22
11777,Jaylen Morris,SAS,26.0,195.58,83.91452,Molloy,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.7,0.7,22.9,0.0,0.11800000000000001,0.231,0.129,0.14300000000000002,2021-22
11778,Jaylen Hoard,OKC,23.0,203.2,97.975872,Wake Forest,France,Undrafted,Undrafted,Undrafted,7,14.7,12.0,2.4,-17.2,0.11199999999999999,0.228,0.184,0.536,0.113,2021-22
11779,Jaylen Brown,BOS,25.0,198.12,101.151016,California,USA,2016,1,3,66,23.6,6.1,3.5,9.8,0.024,0.145,0.298,0.574,0.17300000000000001,2021-22
11780,Jay Scrubb,LAC,21.0,195.58,99.79024,None,USA,2020,2,55,18,2.7,0.9,0.4,6.9,0.016,0.1,0.188,0.486,0.095,2021-22
11781,Jay Huff,LAL,24.0,215.9,108.86208,Virginia,USA,Undrafted,Undrafted,Undrafted,4,0.0,1.0,0.3,36.5,0.04,0.111,0.083,0.0,0.071,2021-22
11782,Jaxson Hayes,NOP,22.0,210.82,99.79024,Texas-Austin,USA,2019,1,8,70,9.3,4.5,0.6,0.5,0.08,0.146,0.159,0.68,0.047,2021-22
11783,Javonte Smart,MIA,23.0,193.04,92.98635999999999,Louisiana State,USA,Undrafted,Undrafted,Undrafted,17,3.0,1.4,0.9,-10.6,0.022000000000000002,0.094,0.154,0.40700000000000003,0.121,2021-22
11784,Javonte Green,CHI,28.0,195.58,92.98635999999999,Radford,USA,Undrafted,Undrafted,Undrafted,65,7.2,4.2,0.9,1.6,0.062,0.12,0.113,0.637,0.051,2021-22
11785,Javin DeLaurier,MIL,24.0,208.28,106.140528,Duke,USA,Undrafted,Undrafted,Undrafted,1,0.0,1.0,0.0,57.1,0.0,0.25,0.0,0.0,0.0,2021-22
11786,Jarron Cumberland,POR,24.0,195.58,92.98635999999999,Cincinnati,USA,Undrafted,Undrafted,Undrafted,3,0.7,1.0,0.3,40.2,0.059000000000000004,0.182,0.061,0.5,0.1,2021-22
11787,Jarrett Culver,MEM,23.0,198.12,88.45044,Texas Tech,USA,2019,1,6,37,3.5,1.3,0.9,-2.3,0.033,0.10099999999999999,0.19899999999999998,0.433,0.135,2021-22
11788,Jarrett Allen,CLE,24.0,208.28,110.22285600000001,Texas-Austin,USA,2017,1,22,56,16.1,10.8,1.6,3.3,0.109,0.213,0.177,0.698,0.079,2021-22
11789,Jeff Dowtin,ORL,25.0,190.5,80.28578399999998,Rhode Island,USA,Undrafted,Undrafted,Undrafted,9,2.1,2.0,1.1,-12.3,0.065,0.09699999999999999,0.11900000000000001,0.353,0.139,2021-22
11790,Jarred Vanderbilt,MIN,23.0,205.74,97.068688,Kentucky,USA,2018,2,41,74,6.9,8.4,1.3,5.0,0.107,0.212,0.10800000000000001,0.612,0.066,2021-22
11791,Devin Vassell,SAS,21.0,195.58,90.7184,Florida State,USA,2020,1,11,71,12.3,4.3,1.9,1.0,0.021,0.128,0.184,0.54,0.096,2021-22
11792,Jerami Grant,DET,28.0,203.2,95.25432,Syracuse,USA,2014,2,39,47,19.2,4.1,2.4,-7.8,0.017,0.10800000000000001,0.253,0.556,0.13,2021-22
11793,Jon Teske,MEM,25.0,215.9,120.20188,Michigan,USA,Undrafted,Undrafted,Undrafted,3,0.0,0.7,0.3,-7.1,0.0,0.28600000000000003,0.1,0.0,0.16699999999999998,2021-22
11794,John Konchar,MEM,26.0,195.58,95.25432,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,72,4.8,4.6,1.5,2.7,0.059000000000000004,0.182,0.09699999999999999,0.615,0.109,2021-22
